Data;Norte;Nordeste;Sudeste;Sul;Centro-Oeste
mar/12;2439,65843;6407,753;20230,842;7026,11629;2518,741
abr/12;2361,90478;6271,553;20295,686;6534,98131;2531,744
mai/12;2430,16015;6436,375;19244,538;6141,74688;2557,371
jun/12;2382,27383;6135,291;19343,073;6180,12128;2487,634
jul/12;2397,64791;6111,808;18762,191;6188,90429;2456,596
ago/12;2490,52071;6323,564;19393,131;6391,48082;2580,906
set/12;2455,69217;6288,243;19904,342;6340,22895;2673,19
out/12;2505,7824;6427,697;19837,975;6251,81767;2772,742
nov/12;2484,06167;6421,108;20485,581;6543,89156;2708,942
dez/12;2410,37303;6478,746;19506,176;6725,27941;2644,51
jan/13;2392,45274;6659,728;20089,886;6617,103;2607,64
fev/13;2266,20572;6452,494;19775,484;6952,735;2558,733
mar/13;2378,19155;6705,944;19907,218;6833,953;2616,885
abr/13;2461,10443;6852,552;20097,448;6572,123;2670,436
mai/13;2454,16357;6660,227;19911,821;6613,672;2704,978
jun/13;2449,53301;6384,53;19652,655;6498,366;2642,614
jul/13;2562,52003;6534,919;19331,509;6544,154;2724,843
ago/13;2559,39626;6580,762;19838,087;6797,218;2837,813
set/13;2571,18716;6536,72;20027,335;6572,961;2816,521
out/13;2720,58638;6832,552;20325,563;6654,874;2855,429
nov/13;2641,60554;6759,701;20765,973;6849,526;2903,484
dez/13;2738,73524;6733,76;20381,824;6885,986;2816,073
jan/14;2600,972;6886,428;20704,34;7333,087;2754,932
fev/14;2476,973;6620,899;21763,013;8019,594;2773,008
mar/14;2612,667;6857,552;20782,6;7281,924;2734,686
abr/14;2601,327;6683,649;20451,575;7007,48;2847,823
mai/14;2707,327;6683,419;20068,194;6794,93;2846,629
jun/14;2643,397;6378,15788;19293,127;6627,215;2784,576
jul/14;2821,879;6554,674;19111,35;6639,96;2738,946
ago/14;2657,952;6652,72;19438,306;6872,774;2928,942
set/14;2836,892;6721,395;19529,007;6787,415;3020,267
out/14;2825,876;6929,49059;20304,956;6922,704;3117,414
nov/14;2762,256;6919,61739;20968,11;7264,836;3035,907
dez/14;2816,133;6859,20203;20098,588;7266,585;2797,799
jan/15;2720,65789;6905,45728;20943,26325;7330,73832;2857,85079
fev/15;2565,453;6689,28181;20869,82687;7665,2693;2929,43538
mar/15;2709,35;6841,73203;20150,05341;7278,854;2778,97495
abr/15;2646,878;6671,25284;20215,13802;7236,0516;2827,34984
mai/15;2718,412;6653,75595;19296,45163;6683,6103;2850,13246
jun/15;2693,038;6435,71546;18752,59064;6567,886;2814,43573
jul/15;2833,64;6215,48945;18532,92147;6446,54;2787,85237
ago/15;2891,97749;6333,88231;19084,99417;6648,5435;2899,28764
set/15;2964,444;6385,46269;18919,40801;6494,00935;3078,32555
out/15;3050,012;6634,59574;19814,54594;6561,33884;3216,17305
nov/15;2958,108;6654,70585;19836,8321;6636,69554;3138,51388
dez/15;2962,634;6792,62431;19359,38194;6604,79122;2950,52889
jan/16;2734,717;6534,5731;19314,00068;6978,39133;2839,21899
fev/16;2708,7986;6277,83691;19495,06004;7406,97752;2838,6635
mar/16;2863,718;6792,2085;19611,35362;7259,98759;2917,64653
abr/16;2727,271;6608,87872;20520,2252;7326,16648;3086,87868
mai/16;2862,447;6721,51793;19303,12716;6859,48678;2902,09371
jun/16;2818,826;6596,04478;18651,58886;6644,1358;2839,81379
jul/16;2900,857;6463,6758;18388,98738;6665,4399;2836,28084
ago/16;2932,615;6518,9652;18711,60176;6609,7968;2920,95549
set/16;2919,161;6623,80393;19239,375;6587,7235;2974,9965
out/16;2946,53;6681,29802;19147,5679;6452,38519;2970,06113
nov/16;2953,991;6818,2489;19361,47846;6690,29796;2930,23274
dez/16;2896,559;6864,36853;19268,36888;6944,8694;2806,62917
jan/17;2768,205;6706,10529;19686,15726;7307,4463;2901,24973
fev/17;2552,629;6341,43377;19583,90714;7520,74557;2837,67201
mar/17;2795,464;6789,01753;20172,69096;7845,15626;2943,26541
abr/17;2721,049;6561,3306;19877,59732;7275,83972;2994,61465
mai/17;2934,453;6672,43797;18885,25902;6691,19625;2971,34008
jun/17;2891,844;6591,85791;18859,51427;6804,9762;2966,07271
jul/17;2882,108;6381,97818;18492,33166;6751,13917;2872,70635
ago/17;3041,036;6503,7286;18501,81709;6880,0993;2939,04786
set/17;2992,579;6504,40781;19349,46589;6981,2375;3181,23623
out/17;3047,409;6870,83148;19442,58331;6878,0501;3097,39813
nov/17;2965,901;6905,44818;19915,40105;6932,6676;3107,47043
dez/17;2917,594;6902,67804;19748,0061;7128,6277;2909,22007
jan/18;2812,89786;6715,17014;20078,36446;7526,62432;2921,61802
fev/18;2650,53876;6352,26314;19689,59959;7571,52653;2905,10173
mar/18;2868,57359;6581,6592;20852,95293;7771,95906;3031,72584
abr/18;2679,31377;6665,54629;20732,78577;7527,39207;3089,96735
mai/18;2666,89467;6655,92909;19736,42381;7190,26667;3013,78431
jun/18;2583,92356;6596,56787;19179,16004;6900,87286;2942,77475
jul/18;2658,45206;6520,39422;19272,77868;7049,95593;3006,57602
ago/18;2688,99381;6687,89772;19378,18737;7141,5884;3152,20871
set/18;2689,09282;6636,68126;19599,71817;6955,33627;3158,15802
out/18;2828,45898;7053,45773;20110,16882;7087,25542;3314,4453
nov/18;2723,63817;7184,2422;20154,42867;7173,50807;3171,851391
dez/18;2585,26022;6848,86511;20021,51469;7276,98262;3142,22525
jan/19;2563,18413;6965,52063;20965,9375;8000,63506;3151,91105
fev/19;2421,37887;6820,97459;20584,52141;8131,09628;3206,02918
mar/19;2600,59065;7049,57809;20626,32971;7767,42841;3104,06477
abr/19;2567,80938;6773,40179;19827,65931;7470,8855;3083,63872
mai/19;2688,74306;7055,06219;20187,00255;7374,88139;3174,96188
jun/19;2719,6837;6624,43837;18980,77955;7058,33392;3057,54858
jul/19;2820,49348;6672,15427;18699,58752;7081,18479;3072,49855
ago/19;2881,21573;6545,283569;18900,14457;7169,97436;3144,92761
set/19;2938,02576;6633,38724;19292,02225;7031,952631;3366,80151
out/19;2965,33092;7138,36421;20170,8843;7346,73409;3446,46539
nov/19;2925,4318;7323,63959;20623,03889;7520,82995;3399,53324
dez/19;2994,75271;7536,74383;19593,15118;7467,0024;3210,2477
jan/20;2894,52556;7122,37542;20157,50218;7980,47577;3174,32708
fev/20;2836,04667;6808,20297;19994,4404;8120,19639;3205,25244
mar/20;2815,28418;6929,9315;20221,09104;7950,413569;3221,89873
abr/20;2629,8504;6362,70471;18064,67986;7081,30747;3125,51142
mai/20;2656,71405;6356,70901;17378,11514;6672,17014;3060,5272
jun/20;2708,91628;6234,57363;17315,90133;6566,35979;2943,29925
jul/20;2898,33531;6529,7004;18381,11601;6979,430559;3080,71685
ago/20;3035,36075;6521,73369;19324,70743;7110,00359;3250,42044
set/20;3085,35971;6823,175029;19785,07739;7263,50349;3395,25403
out/20;3160,12236;7365,12572;21224,40663;7519,42131;3654,538481
nov/20;3007,70405;7009,81579;20377,36341;7616,85051;3418,96003
dez/20;2991,75169;7105,6793;20807,48084;7842,89371;3413,59699
jan/21;2873,24077;7411,3437;21473,63283;8117,25805;3185,33142
fev/21;2756,76702;7035,12191;20541,58078;7972,09238;3172,27996
mar/21;2891,45083;7239,43341;21963,8784;8257,89037;3278,12216
abr/21;2986,81778;7197,70663;21039,60141;8114,93432;3288,28526
mai/21;3053,06882;6966,40613;19934,77183;7579,90176;3223,64253
jun/21;3043,94937;6986,43756;19721,22978;7330,46295;3308,32811
jul/21;3034,19314;6985,87623;19503,62971;7472,283811;3161,5347
ago/21;3144,87795;7101,73554;19777,27817;7611,805359;3239,98771
set/21;3172,36797;7181,96392;20642,0631;7349,09432;3576,2343
out/21;3201,77823;7531,57429;20750,89794;7447,105851;3611,67633
nov/21;3161,07279;7490,44333;20212,89307;7597,229381;3375,32185
dez/21;3159,1754;7719,87395;20702,02653;7882,47778;3421,79898
jan/22;3027,55136;7257,96848;20517,71039;8518,24608;3251,34655
fev/22;2770,55041;6990,81385;20430,03919;8570,87401;3196,55326
mar/22;2996,55372;7456,42539;21624,2897;8801,045;3372,12128
abr/22;2932,11362;7196,46838;21655,63116;7932,69774;3406,2705
mai/22;3089,657541;7254,53616;20731,03333;7560,10088;3353,10997
jun/22;3112,63786;7012,17063;19706,59397;7611,825899;3279,04217
jul/22;3248,12128;7092,83847;19885,19383;7650,85146;3296,98703
ago/22;3416,76261;7287,96244;20314,3572;7672,0816;3406,08595
